employee_id,name,email,salary,join_date
101,User_101,user_101@company.com,64467.0,2020-01-01
102,User_102,user_102@company.com,86650.0,2020-01-02
101,User_103,user_103@company.com,96277.0,2020-01-03
104,User_104,user_104@company.com,83284.0,2020-01-04
105,User_105,user_105@company.com,93994.0,2020-01-05
106,,user_106@company.com,98605.0,2020-01-06
107,User_107,user_107@company.com,,2020-01-07
108,User_108,user_108@company.com,83747.0,2020-01-08
109,User_109,user_109@company.com,113344.0,2020-01-09
110,User_110,user_110@company.com,67381.0,2020-01-10
111,User_111,user_111@company.com,-5000.0,2020-01-11
112,User_112,user_112@company.com,109352.0,2020-01-12
113,User_113,user_113@company.com,77425.0,2020-01-13
114,User_114,user_114@company.com,68038.0,2020-01-14
115,User_115,user_115@company.com,64423.0,2020-01-15
116,User_116,kyrylo_kamennyk.com,105048.0,2020-01-16
117,User_117,user_117@company.com,89256.0,2020-01-17
118,User_118,user_118@company.com,74619.0,2020-01-18
119,User_119,user_119@company.com,59687.0,2020-01-19
120,User_120,user_120@company.com,66510.0,2020-01-20
